datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,source_file
2026-05-20 17:31:34.086,1181833542.0,339086.0,1.0,1.03247,-0.06128,0.323,-5.359,-0.733,0.489,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:34.086,1181833542.0,339086.0,2.0,0.98047,-0.24023,-0.2251,-2.511,1.71,1.389,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:34.286,1181833742.0,339286.0,1.0,1.03638,-0.07349,0.31909,-6.092,0.328,0.038,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:34.286,1181833742.0,339286.0,2.0,0.98901,-0.23779,-0.22803,-4.611,1.405,1.435,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:35.486,1181834942.0,339486.0,1.0,1.03638,-0.0752,0.29907,-4.183,0.542,-0.397,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:35.486,1181834942.0,339486.0,2.0,0.98999,-0.25024,-0.23755,-5.229,1.893,1.756,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:35.686,1181835142.0,339686.0,1.0,1.03076,-0.06909,0.31885,-3.489,2.321,-0.893,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:35.686,1181835142.0,339686.0,2.0,0.99829,-0.25513,-0.2334,-4.473,1.336,1.802,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:35.886,1181835342.0,339886.0,1.0,1.0249,-0.07764,0.32031,-2.557,2.847,-1.832,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:35.886,1181835342.0,339886.0,2.0,0.98877,-0.25073,-0.23242,-2.527,0.275,0.679,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:35.087,1181834543.0,340087.0,1.0,1.02637,-0.06641,0.31958,-0.366,2.855,-1.153,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:35.087,1181834543.0,340087.0,2.0,0.98315,-0.26099,-0.2395,-1.511,0.962,0.672,imu_2026-05-20(Alifi).csv
